Type;Type productidentificatie;Productidentificatie;Artikelomschrijving;Datum;Bestelnummer;Aantal;"Tarief-
groep";Tarief;Bedrag;BTW %;Btw-bedrag;"Bedrag
(incl. BTW)";Land van verzending;Reden;Opmerking
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;03-12-2020;1168886801;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;05-12-2020;1169180980;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;05-12-2020;1169509856;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;06-12-2020;1169663304;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;07-12-2020;1170132373;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;08-12-2020;1160208899;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;09-12-2020;1170691149;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440009;Lilo® - Vibrator Voor Vrouwen - G spot & clitoris stimulator- Erotiek Toy Seksspeeltjes Met 10 Frequenties -  USB Oplaadbar  - Waterproof - Geschikt voor glijmiddel - 21.8 cm - Roze;10-12-2020;1171641695;1;;€28,850000;-€28,850000;0;€0,000000;-€28,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;11-12-2020;1156016623;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;11-12-2020;1171909155;1;;€16,000000;-€16,000000;0;€0,000000;-€16,000000;BE;;
