EAN	Product code	Supplier SKU	Color	Size	Description	Link
8720387440115	9128BckS	9128	Black	S	Bnatural Period Menstrual Underwear Black S 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440122	9128BckM	9128	Black	M	Bnatural Period Menstrual Underwear Black M 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440139	9128BckL	9128	Black	L	Bnatural Period Menstrual Underwear Black L 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440146	9128BckXL	9128	Black	XL	Bnatural Period Menstrual Underwear Black XL 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440153	9128Bck2XL	9128	Black	2XL	Bnatural Period Menstrual Panties Black 2XL 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440160	9128GrnS	9128	Green	S	Bnatural Period Menstrual Panties Green S 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440177	9128GrnM	9128	Green	M	Bnatural Period Menstrual Panties Green M 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440184	9128GrnL	9128	Green	L	Bnatural Period Menstrual Panties Green L 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440191	9128GrnXL	9128	Green	XL	Bnatural Period Menstrual Panties Green XL 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440207	9128Grn2XL	9128	Green	2XL	Bnatural Period Menstrual Panties Green 2XL 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440214	9128RdS	9128	Red	S	Bnatural Period Menstrual Panties Red S 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
8720387440221	9128RdM	9128	Red	M	Bnatural Period Menstrual Panties Red M 40 Gram Box	https://www.alibaba.com/product-detail/Wholesale-Women-Briefs-4-Four-Layers_1600071546225.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2OYQnTX
